Epoch 1/4000, loss=1.040229, KL_div=209889.498110
Epoch 100/4000, loss=0.542801, KL_div=12913.635259
Epoch 200/4000, loss=0.292190, KL_div=5.962462
Epoch 300/4000, loss=0.129802, KL_div=1.377238
Epoch 400/4000, loss=0.181136, KL_div=0.599465
Epoch 500/4000, loss=0.088238, KL_div=0.017662
Epoch 600/4000, loss=0.203757, KL_div=0.054246
Epoch 700/4000, loss=0.135919, KL_div=0.018546
Epoch 800/4000, loss=0.069101, KL_div=0.134184
Epoch 900/4000, loss=0.278386, KL_div=0.032269
Epoch 1000/4000, loss=0.041882, KL_div=0.022972
Epoch 1100/4000, loss=0.094011, KL_div=0.112128
Epoch 1200/4000, loss=0.253152, KL_div=0.108590
Epoch 1300/4000, loss=0.113802, KL_div=0.028617
Epoch 1400/4000, loss=0.106839, KL_div=0.336211
Epoch 1500/4000, loss=0.098075, KL_div=0.115594
Epoch 1600/4000, loss=0.153528, KL_div=0.061903
Epoch 1700/4000, loss=0.199518, KL_div=0.015521
Epoch 1800/4000, loss=0.154738, KL_div=0.019300
Epoch 1900/4000, loss=0.076831, KL_div=0.019086
Epoch 2000/4000, loss=0.074800, KL_div=0.010515
Epoch 2100/4000, loss=0.194870, KL_div=0.329684
Epoch 2200/4000, loss=0.226361, KL_div=0.085784
Epoch 2300/4000, loss=0.193342, KL_div=0.112307
Epoch 2400/4000, loss=0.073000, KL_div=0.023282
Epoch 2500/4000, loss=0.081182, KL_div=0.014753
Epoch 2600/4000, loss=0.102644, KL_div=0.093078
Epoch 2700/4000, loss=0.215424, KL_div=0.074916
Epoch 2800/4000, loss=0.166311, KL_div=0.026901
Epoch 2900/4000, loss=0.130982, KL_div=0.026460
Epoch 3000/4000, loss=0.139877, KL_div=0.032260
Epoch 3100/4000, loss=0.094722, KL_div=0.044375
Epoch 3200/4000, loss=0.128380, KL_div=0.151017
Epoch 3300/4000, loss=0.253065, KL_div=0.035777
Epoch 3400/4000, loss=0.162952, KL_div=0.007187
Epoch 3500/4000, loss=0.133608, KL_div=0.018860
Epoch 3600/4000, loss=0.209474, KL_div=0.047495
Epoch 3700/4000, loss=0.145374, KL_div=0.083896
Epoch 3800/4000, loss=0.125726, KL_div=0.053411
Epoch 3900/4000, loss=0.127672, KL_div=0.045568
Epoch 4000/4000, loss=0.140085, KL_div=0.002803

Final KL Divergence: 0.002324
Saved trained DDPM model to ddpm_1d.pt
