Epoch 1/4000, loss=0.988741, KL_div=430603.698987
Epoch 100/4000, loss=0.909931, KL_div=109050.579072
Epoch 200/4000, loss=0.393196, KL_div=27.323499
Epoch 300/4000, loss=0.160765, KL_div=0.673085
Epoch 400/4000, loss=0.151012, KL_div=0.070361
Epoch 500/4000, loss=0.125506, KL_div=0.019249
Epoch 600/4000, loss=0.131172, KL_div=0.003930
Epoch 700/4000, loss=0.140758, KL_div=0.131145
Epoch 800/4000, loss=0.140529, KL_div=0.293060
Epoch 900/4000, loss=0.050549, KL_div=0.002111
Epoch 1000/4000, loss=0.128831, KL_div=0.027120
Epoch 1100/4000, loss=0.081371, KL_div=0.036700
Epoch 1200/4000, loss=0.101721, KL_div=0.309762
Epoch 1300/4000, loss=0.153071, KL_div=0.556865
Epoch 1400/4000, loss=0.089108, KL_div=0.045989
Epoch 1500/4000, loss=0.098565, KL_div=0.026243
Epoch 1600/4000, loss=0.097034, KL_div=0.067643
Epoch 1700/4000, loss=0.154722, KL_div=0.031211
Epoch 1800/4000, loss=0.160993, KL_div=0.005006
Epoch 1900/4000, loss=0.070753, KL_div=0.008755
Epoch 2000/4000, loss=0.139573, KL_div=0.011092
Epoch 2100/4000, loss=0.126785, KL_div=0.019023
Epoch 2200/4000, loss=0.103020, KL_div=0.012417
Epoch 2300/4000, loss=0.066842, KL_div=0.032695
Epoch 2400/4000, loss=0.077211, KL_div=0.083323
Epoch 2500/4000, loss=0.163076, KL_div=0.188281
Epoch 2600/4000, loss=0.058521, KL_div=0.012908
Epoch 2700/4000, loss=0.132737, KL_div=0.177385
Epoch 2800/4000, loss=0.182052, KL_div=0.024166
Epoch 2900/4000, loss=0.076107, KL_div=0.091752
Epoch 3000/4000, loss=0.228685, KL_div=0.039814
Epoch 3100/4000, loss=0.068884, KL_div=0.009397
Epoch 3200/4000, loss=0.310060, KL_div=0.000340
Epoch 3300/4000, loss=0.128317, KL_div=0.045096
Epoch 3400/4000, loss=0.162296, KL_div=0.044393
Epoch 3500/4000, loss=0.139053, KL_div=0.142633
Epoch 3600/4000, loss=0.081361, KL_div=0.010093
Epoch 3700/4000, loss=0.263690, KL_div=0.027071
Epoch 3800/4000, loss=0.137748, KL_div=0.022789
Epoch 3900/4000, loss=0.124797, KL_div=0.055140
Epoch 4000/4000, loss=0.081045, KL_div=0.381062

Final KL Divergence: 0.373145
Saved trained DDPM model to ddpm_1d.pt
